date,temperature_max,temperature_min,rainfall,precipitation_hours,snowfall,wind_speed,cloud_cover,humidity,pressure
2015-01-01,23.0,21.4,42.8,24.0,0.0,19.9,97.0,90.0,1005.7
2015-01-02,23.1,21.1,17.6,24.0,0.0,25.3,92.0,88.0,1007.8
2015-01-03,24.3,21.4,13.1,24.0,0.0,20.9,81.0,87.0,1007.4
2015-01-04,25.5,21.6,4.9,22.0,0.0,16.4,70.0,88.0,1005.2
2015-01-05,26.1,22.0,4.2,20.0,0.0,13.8,58.0,90.0,1004.5
2015-01-06,25.9,21.8,0.0,0.0,0.0,10.0,45.0,86.0,1004.2
2015-01-07,25.9,21.9,0.9,6.0,0.0,14.0,37.0,84.0,1004.7
2015-01-08,25.0,20.8,9.9,19.0,0.0,23.5,49.0,84.0,1006.6
2015-01-09,24.2,20.9,16.7,24.0,0.0,23.6,76.0,86.0,1007.5
2015-01-10,24.1,20.6,5.3,19.0,0.0,21.1,49.0,79.0,1007.5
2015-01-11,24.1,20.6,8.8,24.0,0.0,18.7,51.0,84.0,1006.8
2015-01-12,24.6,21.1,8.7,24.0,0.0,18.9,93.0,86.0,1006.9
2015-01-13,25.0,21.3,4.2,19.0,0.0,14.7,72.0,87.0,1006.4
2015-01-14,25.7,21.4,1.5,10.0,0.0,12.3,61.0,87.0,1006.3
2015-01-15,25.7,21.9,1.7,9.0,0.0,13.3,72.0,87.0,1006.2
2015-01-16,25.2,21.4,4.1,21.0,0.0,17.8,97.0,86.0,1005.8
2015-01-17,23.9,21.5,6.7,19.0,0.0,17.1,100.0,83.0,1005.5
2015-01-18,22.2,21.3,39.6,23.0,0.0,19.6,100.0,85.0,1003.3
2015-01-19,27.6,21.5,0.1,1.0,0.0,5.8,70.0,84.0,1004.2
2015-01-20,26.1,22.2,0.0,0.0,0.0,10.8,92.0,88.0,1006.2
2015-01-21,27.0,22.5,0.9,4.0,0.0,5.1,78.0,86.0,1006.7
2015-01-22,26.0,22.4,12.9,14.0,0.0,9.4,85.0,90.0,1006.3
2015-01-23,22.9,21.2,26.1,24.0,0.0,18.7,100.0,90.0,1007.1
